BYND,JPMorgan reels in expectations on Beyond Meat,bearish
CCL,Nomura points to bookings weakness at Carnival and Royal Caribbean,bearish
CCL,Nomura points to bookings weakness at Carnival and Royal Caribbean,bearish
CX,"Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook",bearish
BTIG,BTIG Research cuts to Neutral,bearish
FNKO,Funko slides after Piper Jaffray PT cut,bearish
FTI,TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,bearish
GM,GM loses a bull,bearish
DB,Deutsche Bank cuts to Hold,bearish
COWN,Cowen cuts to Market Perform,bearish
AAPL,Trendforce cuts iPhone estimate after Foxconn delay,bearish
AAPL,Trendforce cuts iPhone estimate after Foxconn delay,bearish
AAPL,Trendforce cuts iPhone estimate after Foxconn delay,bearish
HOG,Moody's warns on Harley-Davidson,bearish
HXL,"Citing aero ties, Wells slashes PT on Hexcel",bearish
I,Intelsat cut to Market Perform at Raymond James,bearish
COMP,Compass Point cuts to Sell,bearish
LK,Muddy Waters goes short Luckin Coffee,bearish
MANT,ManTech downgraded ahead of difficult comps,bearish
OPY,Oppenheimer cuts to Perform,bearish
MPLX,MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,bearish
MPLX,MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,bearish
MSGN,Imperial downgrades MSG Networks amid sports-free airwaves,bearish
MTLS,Piper hits the Materialise sidelines,bearish
UNKNOWN,Hovde Group cuts to Market Perform,bearish
NFLX,New Netflix bear steps out,bearish
SHOP,Shopify loses a bull,bearish
STAY,Nomura Instinet loses confidence in Extended Stay America,bearish
TWLO,Twilio gets Street-low target on virus risk,bearish
UNKNOWN,Guggenheim's Minerd sees more gloom ahead in stocks,bearish
UNKNOWN,Guggenheim's Minerd sees more gloom ahead in stocks,bearish
UNKNOWN,Guggenheim's Minerd sees more gloom ahead in stocks,bearish
UNKNOWN,MoffettNathanson expects NFL TV costs to skyrocket,bearish
UNKNOWN,MoffettNathanson expects NFL TV costs to skyrocket,bearish
UNKNOWN,MoffettNathanson expects NFL TV costs to skyrocket,bearish
