cleaned_tweet,senti_label
original,senti_label
Dow futures up by 100 points already,bullish
Daddys drinkin eArly tonight! Heres to a PT of ohhhhh in 2020!,bullish
Well been riding since last December from .12 what to do. Decisions decisions hmm . I have 20 mins to decide. Any suggestions?,bullish
"happy new year, 2020, everyone",bullish
haha just a collection of greats...Mars rofl bork,bullish
NOBODY Gas cars driven by humans killed 1000s upon 1000s in 2019. Tesla shorts OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH,bullish
calls First trade of 2020 Congrats to all bulls,bullish
"Remember, if you short every day, one of those days you will be right",bullish
"called it, the bear comment below makes me chuckle inside. So sweeet",bullish
Bought more at todays low. She is turning. Stars aligned.,bullish
Apple is taking things UP in 2020,bullish
not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though,bullish
where are all the peeps posting bearish since,bullish
This should be at least 300 already,bullish
tomorrow buy time on the dip then green,bullish
Thanks for that dip. Let the bears talk their gibberish and ignore it.,bullish
leave enough red to buy calls at open,bullish
short this bears . Never go against Apple.,bullish
I must rise to a level where winning does not elate me and losing does not deflate me. But its not going to happen today.,bullish
shorts are f u c k e d,bullish
Dont short. Its a Trap lol see you at 7 up day,bullish
who ever shorted today will be deported from US if you are immigrants,bullish
not see anything like this with Tesla stock in the last 3 years. Itll be an EPIC year in 2020 when model Y roll out in summer.,bullish
can one hear the bear as it cries in the forest?,bullish
Ignore the clowns and bears! Marvelous opportunity awaits the longterm bulls!,bullish
good thing I loaded up on puts,bearish
",000 by the end of January",bearish
its just too funny and easy to laugh at bears at this point. Why dont you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a,bullish
"once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am",bullish
I hope we can come close to touching 2000 either tomorrow or Wednesday,bullish
"Squeal like a pig, Chanos! Squeal like a pig!!",bullish
336 test to possibly test 340s tomorrow ALL DAY mentions since open,bullish
shorts thought they are making a quick and easy bet.....hahhaha,bullish
if you had only listened bears...,bullish
Once again keeps roasting the shorts,bullish
BUT BUTT WW3? Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real s,bullish
Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!!,bullish
"Finally gapped up. Took a year and half to do it, but fck it feels good. Long and strong . Lets keep this train moving. Still has some more to go before Ill even consider selling my calls of any of my shares.",bullish
these bears constantly post old a pics of crashed Teslas hahahahaha. Have you not learned yet Im pretty sure your account learned by now Hope you readyyyy for whats next,bullish
Top of the channel believe it,bullish
wow jpm with a whole,bullish
"Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling Dory",bearish
Bears Shorts Later Today,bullish
head fake w more short covering.,bullish
Stocks usually look bearish until they dont lol. BA BA BOOM,bullish
I would of thought would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers.,bearish
"bears I say, you really do have some good points, and youre right this may pull back, but why would you get in front of this right now? Or over the last month? Theres other opportunities out there even for your hateful selves",bullish
by open tomorrow. Get your electric rocket ships ready we going to the moon,bullish
have only 2000 im not going far with this at this point,bullish
man I cant wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Exdate,bullish
stop selling!! My weekly calls are getting wrecked!,bullish
should i do a search of all the mark this post from the bear shorts that have been fried the last month?,bullish
CONGRATS TO ALL THE LONG there were some trying times but our patience IS being rewarded lots more to come,bullish
well its not BYND mane its not too late to buy just maybe,bullish
"yep, especially put buyers and call chasers oof",bullish
who is ready to open tomorrow at . Its time,bearish
Green by morning my ass!! Yall should have taken profits,bearish
buy 300 call easy money,bearish
maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not,bearish
another target raised to wow. When the dust settles this will,bullish
if this takes a big dip tomorrow morning Im closing all my hedges and rolling my of sub strike Jan 17 calls up to strike calls... bring it on,bullish
wow its great to wake up to this! This is going to open at 475 and maybe hit 500 today!!!,bullish
"Bullish AF to the mewn, but that 15 point bubblepop drop last night was not a good feeling while holding calls bork",bullish
"small piece of advice, if youre long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again",bullish
"Oh yeah, was that yesterday? 30 point run. Give me !",bullish
"I just took profits and resized my position a few days ago, soon Ill be doing it again.",bullish
Bwahahaha there isnt a thing capable of stopping this train,bullish
whos making tendies missed this run,bullish
short term people need to pull some off the table with all uncertainty floating around. This is just dicey,bearish
people seem to have forgotten about the energy business,bullish
"i thought by end of week, not middle of week",bullish
What makes bulls believe that Terrorist will stop launching rockets,bearish
grabbed a call and flipped it for over 100. Paid for my loser put and then some. Rolled over to a . Lets keep the party going.,bullish
remember this? Now it seems like a distant memory... 2 weeks ago,bullish
bunch of cocaine and two chicks at the same time,bullish
hahaha many bears buying putsell. Strong strong but we wanna see 305 before close hahaha,bullish
...we will definitely close at today.,bullish
"yeez guys, dont sell off now ... this dragon has just started to fly",bullish
Since July 2019 DIS has gone up 0 Im guessing it will continue going sideways,bearish
this is WILD. And Im loving every bit of it,bullish
For years Kind of going nowhere.. Now the most loved company in the world,bullish
Tesla shorts waiting on the market to open this morning ...,bullish
so happy I dont have to get Elon tatted on me Tomorrow hit 500 sweet cheeks,bullish
ahh its gonna be another good day tomorrow if the futures keep ripping,bullish
Did Elon do another dance today?..cause I love it when he dances..such a good dancer!,bullish
how I wish I didnt sell at !,bullish
"again, shorts gonna buy put and sells, scared traders gonna take profit and selling sharescalls if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! End with 310315 this week end next week",bullish
Little dip to lure them in then BOOM,bullish
Puts the art in fart,bullish
time to take a breather,bullish
Waiting for that hot moist reversal,bullish
500 eod no worries,bullish
people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220,bullish
following through nicely as shown in yesterdays tweets.,bullish
Now its moving with the market,bearish
who else bought the dip,bullish
down 0.27 pretty much the expected daily return,bearish
nice to look at my account today and see my shares up over 100 and climbing.,bullish
"I drink enough coffee, Im investing",bullish
"looking like no 470 today, feel good about getting there tomorrow",bearish
VERY NICE GAINS TODAY.... thank you Gotta run.... cant be greedy right? GLTA!!!!! Hope you guys get to 220,bullish
Apple is going to keep on Running! Undervalued,bullish
looks likes shes going to run tomorrow shes lagged and broke out yesterday,bullish
Funny How Bulls were thinking 500 then they got a reality check today,bearish
BOEING is a bear proof stock.,bullish
The steepening of this move has me licking my chops for some bull,bearish
new CEO already cleaning out the dirty laundry,bullish
i love when Im right,bullish
reminds me of yesterdays PM. Just sayin,bearish
5 yr Chart! When a stock doubles in less than 2 months its a good idea to ring the register or get slammed.,bearish
thanks bears! ATH. 50 profit on calls overnight,bullish
that email leaked was a huge nothing burger,bullish
good morning longs. How are those purchases near 500 looking now? BAHAHA,bearish
"i think in honor of elon... all the bears need to throw out the memes, and we all post our own snaps wearing short shorts . on next drop",bearish
is very overvalued. Drops like a rock soon,bearish
Morningstars fair value estimate is,bearish
TSLA Puts and AAPL Calls,bearish
is there any clown than this man,bullish
all those called getting burnt,bullish
making money love to short this pig,bearish
If your stock needs the CEO to tap dance instead of actually making a profit maybe you joined a cult.,bearish
ouch honestly it will bounce back next week hope I can take a position,bearish
Ruh Roh bulls...this is not looking good,bearish
Suddenly bulls are not so sure anymore... say hello to sooner than you think,bearish
"So many permabulls ... wake up, this isnt moving until earnings.",bearish
